Origin,longitude_deg,latitude_deg
AUS,-97.662015,30.197535
PVD,-71.425668,41.725038
PNS,-87.1866,30.4734
TUS,-110.938053,32.115004
AVP,-75.72339630130001,41.338500976599995
RIC,-77.319702,37.505199
CMH,-82.891899,39.998001
PIT,-80.232903,40.491501
BUR,-118.356378,34.197703
MSY,-90.258003,29.993401
TUL,-95.88809967041016,36.19839859008789
SYR,-76.1063003540039,43.11119842529297
AMA,-101.706001,35.219398
DSM,-93.663101,41.534
HRL,-97.65440368652344,26.228500366210938
RNO,-119.767998,39.4991
ANC,-149.992561,61.179004
ROC,-77.672401,43.1189
OMA,-95.894096,41.3032
GTF,-111.3710022,47.48199844
PFN,106.8690666,-6.2361694
JFK,-73.779317,40.639447
MSN,-89.337502,43.1399
HSV,-86.775101,34.637199
BIS,-100.74600219726562,46.772701263427734
ORF,-76.201,36.895341
MOB,-88.242798,30.6912
DAY,-84.219398,39.902401
ABQ,-106.608925,35.039976
TOL,-83.8078,41.5868
BHM,-86.753502,33.562901
SLE,-123.002998,44.9095
MLU,-92.037697,32.510899
ABE,-75.442797,40.651773
IND,-86.294403,39.7173
CID,-91.7108,41.884701
BFL,-119.056999,35.433601
OKC,-97.598248,35.393388
TYR,-95.40239715576172,32.35409927368164
MAF,-102.202003,31.942499
EUG,-123.21199798583984,44.12459945678711
FLG,-111.670998,35.1385
HDN,-107.218002,40.481201
ALB,-73.80169677734375,42.74829864501953
MRY,-121.84300231933594,36.58700180053711
BIL,-108.542999,45.807701
PBI,-80.095596,26.683201
GSP,-82.218903,34.895699
JAX,-81.687813,30.492469
CRP,-97.501198,27.770399
ABI,-99.68190002440001,32.4113006592
CAK,-81.44219970703125,40.916099548339844
PSC,-119.119003,46.264702
SAT,-98.469803,29.533701
PSP,-116.507004,33.8297
SGU,-113.510306,37.036389
LIH,-159.339005,21.976
SJU,-75.23993279999999,39.9951217
BET,-161.8379974,60.77980042
SDF,-85.736,38.1744
GEG,-117.533997,47.6199
VPS,-86.525398,30.4832
SBN,-86.317299,41.708698
EVV,-87.5324020386,38.0369987488
FAT,-119.718002,36.776199
FSM,-94.367401,35.336601
MLI,-90.5075,41.448502
BUF,-78.732201,42.940498
LAN,-84.58740234375,42.77870178222656
JAN,-90.075897,32.311199
LBB,-101.822998,33.663601
FAY,-78.880302,34.991199
GRB,-88.130805,44.483459
CSG,-84.93890380859375,32.516300201416016
ROA,-79.975403,37.3255
LEX,-84.605904,38.036499
LNK,-96.75920104980469,40.85100173950195
LCH,-93.22329711914062,30.126100540161133
HPN,-73.70760345458984,41.06700134277344
CMI,-88.276249,40.039819
RST,-92.5,43.908298
RKS,-109.065001,41.5942
SRQ,-82.554359,27.394631
JNU,-134.576004,58.355
MKE,-87.896599,42.947201
CRW,-81.593201,38.3731
TXK,-93.990997,33.453701
OTZ,-162.598999,66.88469696
ITO,-155.048004,19.721399
DAB,-81.058098,29.179899
CIC,-121.857716,39.795595
MFR,-122.87300109863281,42.37419891357422
MGM,-86.393997,32.300598
SAV,-81.202103,32.127602
TYS,-83.994003,35.811001
BTR,-91.149597,30.533199
PHF,-76.492996,37.131901
MBS,-84.079597,43.532902
ACV,-124.109,40.978101
SHV,-93.8256,32.446602
CHA,-85.203796,35.035301
SGF,-93.388603,37.245701
BMI,-88.915901,40.4771
ICT,-97.433098,37.649899
STT,103.859685,1.2938695
KOA,-156.045603,19.738783
MLB,-80.645302,28.1028
LFT,-91.987602,30.205299
ISP,-73.10019684,40.79520035
FLO,-79.7238998413086,34.18539810180664
XNA,-94.306801,36.281898
WRG,-132.3699951,56.48429871
ERI,-80.173867,42.083127
GNV,-82.2717971802,29.6900997162
BRW,-156.766008,71.285402
MOT,-101.27999877929688,48.2593994140625
GCN,-112.147003,35.9524
SBA,-119.839996,34.426201
APF,-81.7752990723,26.1525993347
SJT,-100.49600219726562,31.35770034790039
LAW,-98.416603,34.567699
TRI,-82.407401,36.475201
DLH,-92.193604,46.842098
BGM,-75.97979736,42.20869827
KTN,-131.7140045,55.35559845
AGS,-81.9645,33.3699
EKO,-115.79199981689453,40.82490158081055
IDA,-112.070999,43.514599
DHN,-85.44960021972656,31.321300506591797
DET,-83.00990295,42.40919876
MSO,-114.0910034,46.91630173
GRR,-85.52279663,42.88079834
MTJ,-107.893997,38.5098
FWA,-85.195099,40.9785
FAR,-96.81580352783203,46.92070007324219
ADQ,-152.4940033,57.75
SPI,-89.677902,39.844101
JAC,-110.73799896240234,43.6072998046875
RFD,-89.097198,42.1954
DRO,-107.753998,37.151501
AZO,-85.5521011352539,42.234901428222656
CDC,-113.0989990234375,37.70100021362305
MFE,-98.237965,26.176141
MOD,-120.954002,37.625801
SIT,-135.36199951171875,57.04710006713867
TUP,-88.7698974609375,34.26810073852539
ORH,-71.875702,42.2673
MYR,-78.928299,33.679699
CPR,-106.463997,42.908001
LSE,-91.256699,43.879002
GTR,-88.5914,33.450298
BPT,-94.020699,29.9508
PIA,-89.693298,40.6642
DLG,-158.5050049,59.04470062
SBP,-120.641998291,35.236801147499996
ELM,-76.8916015625,42.1599006652832
RAP,-103.05699920654297,44.0452995300293
EGE,-106.9179993,39.64260101
RDM,-121.150002,44.254101
ROR,103.7573384,1.3072727
AKN,-156.651965,58.677845
DBQ,-90.709503,42.402
YUM,-114.609375,32.650938
OAJ,-77.612099,34.829201
SUX,-96.382237,42.397605
SMX,-120.457001,34.898899
SWF,-74.104797,41.504101
FNT,-83.74359893798828,42.96540069580078
ALO,-92.40029907226562,42.557098388671875
ILM,-77.90260314941406,34.270599365234375
BRO,-97.4259033203125,25.90679931640625
TWF,-114.487999,42.4818
CLL,-96.36380005,30.58860016
GPT,-89.070099,30.407301
BQN,-67.1355779,18.4953813
VIS,-119.392998,36.318699
BTV,-73.153297,44.471901
CDV,-145.477997,60.491798
STX,103.6911901,1.3333098
BLI,-122.53800201416016,48.79280090332031
SUN,-114.2959976,43.50439835
MEI,-88.7519,32.3326
BGR,-68.828102,44.8074
SPS,-98.491898,33.9888
ILE,-97.6865005493,31.0858001709
PIH,-112.59600067138672,42.9098014831543
GFK,-97.176102,47.949299
ATW,-88.519096,44.258099
LWB,-80.400438,37.857914
PUB,-104.497002,38.289101
PSG,-132.9450073,56.80170059
HLN,-111.983002,46.6068
SCE,-77.84852,40.849374
DUT,-166.544996,53.89881
EYW,-81.759598,24.556101
PIE,-82.687401,27.9102
GRK,-97.828903,31.0672
FCA,-114.25599670410156,48.31050109863281
RDD,-122.2929993,40.50899887
CHO,-78.4529037475586,38.13859939575195
LRD,-99.46160125732422,27.543800354003906
SPN,103.8494332,1.2900089
ABY,-84.196215,31.532946
OME,-165.44500732421875,64.51219940185547
IPL,-115.574026,32.83539
BTM,-112.49700164794922,45.95479965209961
SCC,-148.4649963,70.19470215
UCA,103.854002,1.3037476
HVN,-72.88680267,41.26369858
LWS,-117.01499938964844,46.3745002746582
ITH,-76.4583969116211,42.49100112915039
ASE,-106.869003,39.223202
GUC,-106.934566,38.534672
GUM,103.8957001,1.3282153
MCN,-83.64920043945312,32.69279861450195
PSE,103.8833702,1.3344131
TVL,-119.99500274658203,38.89390182495117
SCK,-121.238079,37.893279
CEC,-124.236403,41.778929
ACY,-74.57720184326172,39.45759963989258
HTS,-82.557999,38.366699
ACT,-97.23049926757812,31.611299514770508
HHH,-80.697502,32.2244
CMX,-88.48909759521484,47.168399810791016
LYH,-79.200401,37.326698
YKM,-120.5439987,46.56819916
OXR,-119.20700073242,34.200801849365
YAK,-139.660435,59.508717
CWA,-89.670238,44.777448
AEX,-92.549797,31.3274
ROW,-104.530998,33.301601
VLD,-83.27670288085938,30.782499313354492
TEX,-107.907997,37.9538
VCT,-96.91850280761719,28.85260009765625
IYK,-117.8300018,35.65879822
BQK,-81.466499,31.258801
GST,-135.7070007,58.4253006
ACK,-70.06020355,41.25310135
COD,-109.024002,44.520199
CCR,-122.056999,37.9897
MQT,-87.395401,46.3536
ISO,-77.60880279540001,35.331401825
PMD,-118.084999,34.629398
TTN,-74.813499,40.276699
LMT,-121.733002,42.156101
EWN,-77.04290008539999,35.0730018616
EAU,-91.48429870605469,44.86579895019531
ROP,103.8183093,1.5132833
EFD,-95.1587982178,29.607299804700002
HKY,-81.38950348,35.74110031
WYS,-111.117996,44.6884
YAP,138.1399232,9.5556503
ADK,-176.642783,51.883564
MKG,-86.238197,43.169498
LNY,-156.951324,20.785675
ANI,-159.54299926757812,61.581600189208984
ILG,-75.606499,39.678699
GCC,-105.539001,44.3489
PLN,-84.79669952,45.57089996
MIB,-101.358002,48.4156
INL,-93.4030990600586,48.566200256347656
MKK,-157.095993,21.152901
BJI,-94.93370056,47.50939941
SOP,-79.389381,35.237184
RDR,-97.4011993408,47.961101532
OTH,-124.24600219726562,43.41709899902344
RHI,-89.46749877929688,45.63119888305664
KSM,-163.302002,62.060501
MAZ,-67.1485,18.2551
PIR,-100.2860031,44.38270187
MTH,-81.051399,24.726101
FOE,-95.663597,38.950901
CKB,-80.228104,39.2966
